GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lib-jobs,edu.ucsb.cs156.jobs.controllers,JobsController,0,333,0,26,0,54,0,31,0,18
lib-jobs,edu.ucsb.cs156.jobs.errors,EntityNotFoundException,0,17,0,0,0,2,0,1,0,1
lib-jobs,edu.ucsb.cs156.jobs.config,JobsAutoConfiguration,0,45,0,0,0,12,0,6,0,6
lib-jobs,edu.ucsb.cs156.jobs.services,JobRateLimit,0,36,0,2,0,13,0,4,0,3
lib-jobs,edu.ucsb.cs156.jobs.services,JobContextFactory,0,25,0,0,0,6,0,2,0,2
lib-jobs,edu.ucsb.cs156.jobs.services,JobContextConsumer,0,8,0,0,0,3,0,3,0,3
lib-jobs,edu.ucsb.cs156.jobs.services,JobContext,0,87,0,6,0,19,0,9,0,6
lib-jobs,edu.ucsb.cs156.jobs.services,JobService,0,166,0,4,0,43,0,10,0,8
lib-jobs,edu.ucsb.cs156.jobs.entities,Job,0,12,0,0,0,5,0,2,0,2
lib-jobs,edu.ucsb.cs156.jobs.entities,JobLog,0,4,0,0,0,2,0,1,0,1
